,smoothness_flatfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
103,0.0610540229658533,ladmap,False,2,True,3,4.44554742447085,0.20044005745194513,1997.7293061983312
104,0.0610540229658533,ladmap,False,2,True,4,4.427467997414646,0.20105124835742444,2003.8412257567938
105,0.0610540229658533,ladmap,False,2,False,0,3.803015748929195,0.27384408520001224,2732.243867749052
106,0.0610540229658533,ladmap,False,2,False,1,3.802993041877381,0.27188827430247836,2712.685736066661
107,0.0610540229658533,ladmap,False,2,False,2,3.8032754769929973,0.27456223451395045,2739.4256206164973
108,0.0610540229658533,ladmap,False,2,False,3,3.8036819347408435,0.2719799529383003,2713.603211317744
109,0.0610540229658533,ladmap,False,2,False,4,3.8027168665977324,0.26420254866607584,2635.828203527356
110,0.0610540229658533,approximate,False,2,True,0,4.4582659951035595,0.17029306603917735,1696.2964401414217
111,0.0610540229658533,approximate,False,2,True,1,4.4674939674346,0.1666106408336644,1659.4719800407295
112,0.0610540229658533,approximate,False,2,True,2,4.47220248141212,0.1711487333068484,1704.8524511223295
113,0.0610540229658533,approximate,False,2,True,3,4.459934859363687,0.16445619289184976,1637.9270814759448
114,0.0610540229658533,approximate,False,2,True,4,4.473819075096944,0.16514378266051402,1644.8031435373096
115,0.0610540229658533,approximate,False,2,False,0,3.6088445306909147,0.15904715337835773,1584.0803783142683
116,0.0610540229658533,approximate,False,2,False,1,3.608918408837926,0.15683158634599517,1561.9247818687898
117,0.0610540229658533,approximate,False,2,False,2,3.6082844411184394,0.1635241267609938,1628.8495520510564
118,0.0610540229658533,approximate,False,2,False,3,3.6088786220582154,0.15232405341808514,1516.8494128029097
119,0.0610540229658533,approximate,False,2,False,4,3.608766363036298,0.15146838615041408,1508.292627867177
120,0.13894954943731375,ladmap,False,2,True,0,4.3810493454165655,0.11273416251566176,1120.6768531633677
121,0.13894954943731375,ladmap,False,2,True,1,4.385633667355183,0.11452189591418879,1138.5514525893423
